City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,pemangkat,1.1667,108.9667,23.95,92,100,2.03,ID,1675541521
84,leshukonskoye,64.8989,45.7622,-21.62,100,96,1.28,RU,1675541521
85,meulaboh,4.1363,96.1285,23.87,88,96,1.68,ID,1675541479
86,severo-kurilsk,50.6789,156.125,-3.4,73,100,2.88,RU,1675541476
87,afrikanda,67.4429,32.7828,-18.39,97,85,1.37,RU,1675541522
88,dondo,-19.6094,34.7431,24.68,84,8,2.02,MZ,1675541522
89,imeni poliny osipenko,52.4201,136.4853,-25.71,99,100,1.09,RU,1675541522
90,mao,39.8885,4.2658,10.31,81,0,2.57,ES,1675541522
91,coxim,-18.5067,-54.76,27.26,76,100,2.54,BR,1675541523
92,wajir,1.7471,40.0573,29.92,26,100,5.04,KE,1675541523
93,gravdal,68.1214,13.5031,1.53,97,100,13.02,NO,1675541523
94,cabo san lucas,22.8909,-109.9124,27.01,50,0,3.09,MX,1675541524
95,rio grande,-32.035,-52.0986,29.06,57,0,7.53,BR,1675541475
96,nisia floresta,-6.0911,-35.2086,29.45,68,87,5.61,BR,1675541524
97,nuuk,64.1835,-51.7216,-14.66,100,40,13.38,GL,1675541525
98,boguchany,58.3814,97.4531,-14.55,98,98,1.29,RU,1675541525
99,tuktoyaktuk,69.4541,-133.0374,-42.0,66,0,1.54,CA,1675541189
100,sao filipe,14.8961,-24.4956,22.25,62,53,5.88,CV,1675541233
101,molteno,-31.3968,26.3625,19.41,57,94,4.56,ZA,1675541525
102,bredasdorp,-34.5322,20.0403,22.04,81,0,1.78,ZA,1675541210
103,riyadh,24.6877,46.7219,16.08,50,0,6.13,SA,1675541321
104,saint-pierre,-21.3393,55.4781,25.82,78,0,1.54,RE,1675541239
105,khatanga,71.9667,102.5,-38.73,100,54,2.19,RU,1675541204
106,acapulco,16.8634,-99.8901,30.9,48,0,3.09,MX,1675541338
107,komsomolskiy,40.4272,71.7189,4.4,87,100,3.09,UZ,1675540906
108,akyab,20.15,92.9,17.83,64,88,4.09,MM,1675541526
109,tevaitoa,-16.7833,-151.5,27.34,72,32,8.14,PF,1675541528
110,iqaluit,63.7506,-68.5145,-35.15,66,20,8.75,CA,1675541139
111,hofn,64.2539,-15.2082,0.81,57,4,6.32,IS,1675541528
112,rosarito,32.3333,-117.0333,23.56,52,50,3.46,MX,1675541528
113,kavieng,-2.5744,150.7967,27.39,73,97,2.0,PG,1675541178
114,buala,-8.145,159.5921,26.29,85,100,2.78,SB,1675541529
115,san policarpo,12.1791,125.5072,25.84,85,99,6.92,PH,1675541198
116,faanui,-16.4833,-151.75,27.47,71,69,7.89,PF,1675541249
117,ilhabela,-23.7781,-45.3581,29.35,69,92,1.83,BR,1675541529
118,nelson bay,-32.7167,152.15,19.44,67,0,3.58,AU,1675541196
119,shimoda,34.6667,138.95,7.53,68,25,4.12,JP,1675541529
120,pangnirtung,66.1451,-65.7125,-37.0,67,0,1.03,CA,1675541060
121,harper,4.375,-7.7169,26.94,82,8,4.23,LR,1675541530
122,beringovskiy,63.05,179.3167,-30.14,92,38,6.05,RU,1675541172
123,shizunai,42.3339,142.3669,-5.87,74,14,3.27,JP,1675541530
124,wilhelmshaven,53.5167,8.1333,2.22,70,29,3.76,DE,1675541531
125,tanete,-3.9443,119.7848,24.02,90,99,0.44,ID,1675541531
126,new norfolk,-42.7826,147.0587,13.29,64,23,1.57,AU,1675541199
127,te anau,-45.4167,167.7167,18.21,98,100,1.81,NZ,1675541497
128,georgetown,5.4112,100.3354,25.96,88,20,2.57,MY,1675541159
129,port elizabeth,-33.918,25.5701,24.62,83,0,2.06,ZA,1675541188
130,constitucion,-35.3333,-72.4167,20.15,74,43,3.34,CL,1675541523
131,grootfontein,-19.5667,18.1167,21.93,71,99,3.02,NA,1675541531
132,hilo,19.7297,-155.09,22.92,98,100,0.45,US,1675541532
133,puerto penasco,31.3167,-113.5333,16.06,68,0,2.68,MX,1675541532
134,mayo,38.8876,-76.5119,0.64,45,0,5.66,US,1675541212
135,tres arroyos,-38.3739,-60.2798,29.59,25,0,4.18,AR,1675541532
136,cape town,-33.9258,18.4232,22.28,84,20,5.66,ZA,1675540905
137,umarkot,25.3616,69.7362,19.53,32,1,3.66,PK,1675541533
138,jamestown,42.097,-79.2353,-3.32,35,20,7.72,US,1675541015
139,nikolskoye,59.7035,30.7861,-2.06,92,100,3.57,RU,1675541252
140,tuy hoa,13.0833,109.3,22.86,85,97,1.06,VN,1675541533
141,sisimiut,66.9395,-53.6735,-22.0,96,70,4.04,GL,1675541534
142,saint george,37.1041,-113.5841,13.57,35,0,0.89,US,1675541250
143,husavik,66.0449,-17.3389,-2.46,70,3,5.68,IS,1675541231
144,hasaki,35.7333,140.8333,2.34,56,2,7.69,JP,1675541216
145,college,64.8569,-147.8028,-12.03,78,75,1.54,US,1675541534
146,kapoeta,4.7717,33.5903,29.81,26,60,3.01,SS,1675541535
147,hay river,60.8156,-115.7999,-23.53,92,87,0.98,CA,1675541535
148,vestmannaeyjar,63.4427,-20.2734,4.56,64,100,11.21,IS,1675541424
149,narsaq,60.9167,-46.05,0.12,90,100,8.76,GL,1675541526
150,quatre cocos,-20.2078,57.7625,26.16,85,64,4.53,MU,1675540973
151,acari,-15.4311,-74.6158,26.52,75,100,3.66,PE,1675541536
152,canavieiras,-15.675,-38.9472,28.24,71,1,4.21,BR,1675541524
153,la sarre,48.8002,-79.1996,-13.35,93,100,6.05,CA,1675541536
154,lata,40.1629,-8.3327,12.12,74,0,1.71,PT,1675541537
155,waingapu,-9.6567,120.2641,24.34,92,100,3.17,ID,1675541154
156,zalau,47.2,23.05,-3.3,79,100,6.15,RO,1675541537
157,grand gaube,-20.0064,57.6608,26.32,77,99,0.89,MU,1675541449
158,provideniya,64.3833,-173.3,-19.89,89,100,4.75,RU,1675541490
159,nushki,29.5542,66.0215,15.41,43,0,2.29,PK,1675541537
160,rafraf,37.1904,10.1837,13.17,66,100,9.84,TN,1675541538
161,gamba,-2.65,10.0,25.48,86,97,1.09,GA,1675541538
162,salalah,17.0151,54.0924,23.05,78,40,1.03,OM,1675541448
163,cayenne,4.9333,-52.3333,25.02,94,75,3.09,GF,1675541349
164,chaiyaphum,15.75,102.0,25.78,73,100,1.49,TH,1675541538
165,nemuro,43.3236,145.575,-5.49,76,26,4.78,JP,1675541539
166,plettenberg bay,-34.0527,23.3716,22.4,73,36,1.39,ZA,1675541539
167,dharchula,29.85,80.5333,10.28,34,1,3.59,IN,1675541211
168,airai,-8.9266,125.4092,15.69,91,100,0.94,TL,1675541158
169,thompson,55.7435,-97.8558,-17.93,86,97,1.48,CA,1675541208
170,grindavik,63.8424,-22.4338,3.26,65,75,10.29,IS,1675541025
171,dikson,73.5069,80.5464,-20.8,98,100,1.44,RU,1675541256
172,chuy,-33.6971,-53.4616,24.2,57,1,7.39,UY,1675541227
173,cockburn town,21.4612,-71.1419,25.23,73,0,7.35,TC,1675541539
174,vao,-22.6667,167.4833,26.25,87,81,8.92,NC,1675541225
175,hobart,-42.8794,147.3294,13.48,71,20,4.63,AU,1675540955
176,lucea,18.451,-78.1736,26.59,71,24,4.54,JM,1675541540
177,baglung,28.2719,83.5898,10.13,61,2,2.4,NP,1675541541
178,ponta delgada,37.7333,-25.6667,15.4,82,20,3.6,PT,1675541488
179,kruisfontein,-34.0033,24.7314,23.1,67,100,2.42,ZA,1675541534
180,union hidalgo,16.4723,-94.8295,24.21,50,5,11.12,MX,1675541541
181,mangrol,21.1167,70.1167,21.09,38,6,3.17,IN,1675541355
182,goderich,43.7501,-81.7165,-4.49,68,73,10.29,CA,1675541184
183,porbandar,21.6422,69.6093,20.98,42,6,3.86,IN,1675541542
184,byron bay,-28.65,153.6167,23.3,84,100,3.49,AU,1675541444
185,wakkanai,45.4094,141.6739,-5.82,69,100,4.7,JP,1675541542
186,umm lajj,25.0213,37.2685,19.68,52,9,4.18,SA,1675541283
187,dombarovskiy,50.7587,59.5386,-18.56,88,31,3.04,RU,1675541543
188,cairns,-16.9167,145.7667,26.7,94,100,4.12,AU,1675541543
189,isangel,-19.55,169.2667,28.06,94,75,0.0,VU,1675541544
190,wanlaweyn,2.6185,44.8938,23.7,67,36,6.76,SO,1675541268
191,katsuura,35.1333,140.3,6.94,70,4,5.26,JP,1675541224
